voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
23,37,20,17,0.5405405405405406,0.4594594594594595,-0.30558628,3.161552,-0.67772603,3.6285532
25,37,18,19,0.4864864864864865,0.5135135135135135,-0.34776786,-11.286599,-0.5286065,-10.425794
185,37,25,12,0.6756756756756757,0.3243243243243243,-0.4666149,0.02815979,-0.67334443,-6.423813
186,37,20,17,0.5405405405405406,0.4594594594594595,-0.7874478,-3.808533,-0.96948224,-6.806874
200,37,17,20,0.4594594594594595,0.5405405405405406,-0.4567324,-5.038536,-0.43377632,-4.7786703
201,37,25,12,0.6756756756756757,0.3243243243243243,-0.5400764,-5.986287,-0.6506816,-5.717906
202,37,19,18,0.5135135135135135,0.4864864864864865,-0.4636218,-6.0180435,-0.51618063,-9.518535
203,37,14,23,0.3783783783783784,0.6216216216216216,-0.5025394,-11.693353,-0.52193105,-12.47228
218,37,19,18,0.5135135135135135,0.4864864864864865,-0.3205917,-4.4169364,-0.4224864,-2.4253142
222,37,18,19,0.4864864864864865,0.5135135135135135,-0.49516416,-3.1547363,-0.44088873,-4.1650057
232,37,22,15,0.5945945945945946,0.4054054054054054,-0.35693637,5.918535,-0.4440504,4.2841506
233,37,24,13,0.6486486486486487,0.3513513513513513,-0.53603685,6.766449,-0.43866485,3.773944
242,37,20,17,0.5405405405405406,0.4594594594594595,-0.4168167,3.9496071,-0.42473325,-0.43128976
243,37,21,16,0.5675675675675675,0.4324324324324324,-0.4053622,0.4224543,-0.4564667,-2.1723301
245,37,15,22,0.4054054054054054,0.5945945945945946,-0.42842442,-6.565539,-0.37562385,-7.8178005
251,37,26,11,0.7027027027027027,0.2972972972972973,-0.40119284,6.870301,-0.52118814,5.646108
260,37,19,18,0.5135135135135135,0.4864864864864865,-0.30186784,1.711188,-0.48166135,0.07160916
263,37,18,19,0.4864864864864865,0.5135135135135135,-0.34070864,-8.824366,-0.7556114,-8.151706
268,37,18,19,0.4864864864864865,0.5135135135135135,-0.34885323,1.024208,-0.42886975,3.0923584
288,37,14,23,0.3783783783783784,0.6216216216216216,-0.38449106,2.351873,-0.34475395,4.1661553
292,37,19,18,0.5135135135135135,0.4864864864864865,-0.16775832,6.44073,-0.2655999,6.7991037
300,37,16,21,0.4324324324324324,0.5675675675675675,-0.40422726,-2.1289442,-0.8357795,-1.546662
