voxel,bold_mean,dcmro2_mean,dcbf_mean,considered,cmro2_sig,finite_all
0,-0.2290731,-2.5886843,8.591375,0,0,1
1,-0.3139877,-1.5481385,8.892206,0,0,1
2,1.4781153,-4.9604316,7.2164855,0,0,1
3,0.33234546,-9.13065,5.469521,0,0,1
4,0.1055827,-2.9139826,6.1444736,0,0,1
5,0.021670595,-1.0857829,6.819867,0,0,1
6,-0.032686345,-0.4101698,7.320304,0,0,1
7,-0.51087654,-1.7387158,6.9159665,0,0,1
8,-0.34517267,-3.9007049,5.6518693,0,0,1
9,-0.4670354,-5.2974033,3.8804514,0,0,1
10,-0.6697923,-8.732664,2.3861325,0,0,1
11,0.40377042,0.69622236,5.7605653,0,0,1
12,0.40786174,2.8245394,5.9330654,0,0,1
13,0.051915843,2.662512,6.367624,0,0,1
14,-0.18769887,1.7493826,6.337702,0,0,1
15,-0.41185156,1.4340179,5.610998,0,0,1
16,-0.42831275,1.1823313,4.4975038,0,0,1
17,-0.5904599,-2.302635,3.0975006,0,0,1
18,0.061180055,0.3707591,5.5800056,0,0,1
19,0.23076506,1.6463876,5.100397,0,0,1
20,-0.10950762,2.3105578,5.2072034,0,0,1
21,-0.05740389,2.4718199,5.390022,0,0,1
22,-0.10734451,2.775456,4.9534707,0,0,1
23,-0.67772603,3.6285532,4.454318,1,0,1
24,-0.5949215,1.5859288,3.5773997,0,0,1
25,-0.5286065,-10.425794,-0.1652995,1,1,1
26,-0.8307445,0.22996084,6.1859655,0,0,1
27,0.15504786,0.82337695,5.28715,0,0,1
28,0.28985226,0.4388616,4.401477,0,0,1
29,-0.25606388,0.6211511,3.8383255,0,0,1
30,-0.20921718,0.7682975,3.6696248,0,0,1
31,-0.24314071,1.80269,3.7300382,0,0,1
32,-0.69066495,3.040969,4.006993,0,0,1
33,-0.4362633,0.028657502,3.7956207,0,0,1
34,-0.16087049,0.079707645,3.5054443,0,0,1
35,-0.18867818,-0.7999965,2.7632554,0,0,1
36,-0.32798082,-1.9201053,2.3304226,0,0,1
37,-0.16013964,-3.118233,1.9671682,0,0,1
38,0.15635899,1.9606622,6.6803594,0,0,1
39,-21.806356,-0.13889018,5.3906913,0,0,1
40,0.4160715,0.53970855,4.3185515,0,0,1
41,-0.25770932,1.2698166,3.5032287,0,0,1
42,-0.53343314,1.5489501,3.409585,0,0,1
43,-0.31263041,2.650336,3.796507,0,0,1
44,-0.2609295,2.9024944,4.518639,0,0,1
45,-0.51347506,2.244296,5.2094746,0,0,1
46,-0.35191458,3.0856104,5.9412966,0,0,1
47,0.048018932,5.000078,6.348413,0,0,1
48,-0.25130376,3.535842,5.9009433,0,0,1
49,-0.32264775,1.592154,5.1856065,0,0,1
50,-0.19637272,-1.2853614,4.4387283,0,0,1
51,-0.21380912,-4.812261,3.6163034,0,0,1
52,0.9012588,3.2748296,7.638981,0,0,1
53,1.345277,2.0680056,6.5534163,0,0,1
54,0.1270831,1.6199901,5.2873483,0,0,1
55,-0.05828174,2.6599422,4.4349337,0,0,1
56,-0.2742045,3.3623996,3.7908587,0,0,1
57,-0.37432355,3.9562278,3.9086754,0,0,1
58,-0.30137008,4.700348,4.3615637,0,0,1
59,-0.21667673,4.341476,5.095542,0,0,1
60,-0.2475797,3.9337704,5.750581,0,0,1
61,-0.39240107,5.5786395,6.638238,0,0,1
62,-0.22669592,7.063605,7.1543493,0,0,1
63,-0.43187356,5.922766,7.107026,0,0,1
64,-0.32310787,4.0378003,6.961426,0,0,1
65,-0.12616518,0.354274,5.9541545,0,0,1
66,0.74182177,5.025753,7.3791804,0,0,1
67,-0.05547218,4.4498863,6.417526,0,0,1
68,-0.14376909,4.4034534,5.607976,0,0,1
69,-0.13613996,5.692076,5.1425624,0,0,1
70,-0.19978343,5.6537657,4.6520357,0,0,1
71,-0.25713494,5.3623548,4.6065445,0,0,1
72,-0.35497493,5.339254,4.625957,0,0,1
73,-0.054575734,4.740549,4.7615247,0,0,1
74,-0.21921301,4.3612986,5.0326257,0,0,1
75,-0.3877528,6.5391374,6.259175,0,0,1
76,-0.2310697,6.29225,6.5020823,0,0,1
77,-0.044611637,6.1345315,7.1386576,0,0,1
78,-0.049614392,3.441221,6.9920063,0,0,1
79,0.3458685,6.892279,13.052809,0,0,1
80,1.9375299,6.9486485,9.073798,0,0,1
81,0.06485834,5.443432,6.4093575,0,0,1
82,-0.002595692,7.990756,6.1288867,0,0,1
83,-0.25311682,8.015237,6.2128644,0,0,1
